init 0
0 o1 1
1 un1 2
2 o2 3
3 o1 3
1 o2 4
4 f 5
5 o1 6
6 o1 6
0 un1 7
7 o1 8
8 o2 9
9 o1 9
0 un2 10
10 o1 11
11 o2 12
12 o1 12
13 o3 14
14 un1 15
15 un2 16
16 un2 17
17 un1 18
18 o1 19
19 un2 20
20 o1 21
21 o2 22
22 un1 23
23 o1 24
24 un1 25
25 un2 26
26 un1 27
27 o2 28
28 un2 29
29 o1 30
30 o3 31
31 un2 32
32 un2 33
33 un1 34
34 o1 35
35 o2 36
36 un2 37
37 un2 38
38 o3 39
39 o2 40
40 o3 41
41 un2 42
42 o3 43
43 un2 44
44 o1 45
45 o1 46
46 un1 47
47 o2 48
48 un1 49
49 un1 50
50 un2 51
51 o1 52
52 o1 53
53 un2 54
54 o3 55
55 o1 56
56 un2 57
57 o1 58
58 un2 59
59 un1 60
60 un2 61
61 un1 62
62 o1 63
63 un2 64
64 o2 65
65 o3 66
66 un1 67
67 un2 68
68 o1 69
69 un1 70
70 un1 71
71 o2 72
72 un2 73
73 un2 74
74 un1 75
75 o1 76
76 un2 77
77 un1 78
78 o3 79
79 o1 80
80 o3 81
81 o2 82
82 o1 83
83 o3 84
84 un2 85
85 un1 86
86 o3 87
87 o3 88
88 o3 89
89 o3 90
90 un1 91
91 un1 92
92 un1 93
93 un2 94
94 un1 95
95 o1 96
96 un1 97
97 o3 98
98 o1 99
99 o3 100
100 o3 101
101 un1 102
102 un1 103
103 o1 104
104 o3 105
105 un2 106
106 o1 107
107 o2 107
4 o3 108
108 un2 109
109 o3 110
110 un1 111
111 un1 112
112 o3 113
113 un1 114
114 o3 115
115 un1 116
116 un2 117
117 o3 118
118 un2 119
119 o3 120
120 un1 121
121 un1 122
122 un2 123
123 un2 124
124 un2 125
125 un2 126
126 un2 127
127 o3 128
128 un1 129
129 o3 130
130 un2 131
131 un2 132
132 o3 133
133 o3 134
134 o3 135
135 un1 136
136 un1 137
137 un1 138
138 o3 139
139 un2 140
140 o3 141
141 o3 142
142 o3 143
143 un2 144
144 un1 145
145 un2 146
146 o3 147
147 o3 148
148 o3 149
149 o3 150
150 o3 151
151 un2 152
152 un1 153
153 o3 154
154 o3 155
155 o3 156
156 un1 157
157 o3 158
158 o3 159
159 un1 160
160 un1 161
161 o3 162
162 un2 163
163 un1 164
164 un2 165
165 un2 166
166 un1 167
167 o3 168
168 o3 169
169 o3 170
170 o3 171
171 un1 172
172 o3 173
173 o3 174
174 un1 175
175 o3 176
176 o3 177
177 o3 178
178 un1 179
179 un1 180
180 un1 181
181 un2 182
182 un1 183
183 un2 184
184 un2 185
185 o3 186
186 o3 187
187 un1 188
188 un1 189
189 o3 190
190 o3 191
191 un1 192
192 o3 193
193 un2 194
194 o3 195
195 un1 196
196 un1 197
197 o3 198
198 un1 199
199 un2 200
200 un2 201
201 un1 202
202 un1 203
203 un2 204
204 o3 205
205 un2 206
206 un1 207
207 un1 208
208 o1 208
