init 0
0 o1 1
1 f 2
2 o3 3
3 o1 4
4 o3 4
2 un1 5
5 o2 4
0 un2 6
6 o1 7
7 o2 4
0 un3 8
8 o1 9
9 o2 10
10 o3 10
0 o3 11
11 o2 12
12 o4 13
13 o1 14
14 o3 15
15 o1 16
16 un2 17
17 o4 18
18 un1 19
19 o3 20
20 o1 21
21 un2 22
22 un2 23
23 o1 24
24 un2 25
25 o1 26
26 un1 27
27 un1 28
28 o4 29
29 o1 30
30 o3 31
31 o2 32
32 un2 33
33 o3 34
34 o2 35
35 un2 36
36 un1 37
37 o4 38
38 o2 39
39 un2 40
40 o3 41
41 o3 42
42 o2 43
43 o4 44
44 o1 45
45 un2 46
46 o4 47
47 o2 48
48 un1 49
49 un1 50
50 un1 51
51 un2 52
52 o2 53
53 o2 54
54 o3 55
55 o1 56
56 o1 57
57 o4 58
58 o3 59
59 un1 60
60 o1 61
61 un2 62
62 un1 63
63 o1 64
64 o3 65
65 o2 66
66 un2 67
67 o1 68
68 un2 69
69 un1 70
70 o2 71
71 un2 72
72 un1 73
73 un2 74
74 o4 75
75 un1 76
76 o3 77
77 o3 78
78 o1 79
79 un1 80
80 o3 81
81 o4 82
82 un1 83
83 o3 84
84 o4 85
85 o3 86
86 un1 87
87 un1 88
88 o2 89
89 o4 90
90 un2 91
91 o2 92
92 un1 93
93 un1 94
94 o3 95
95 un1 96
96 un2 97
97 un1 98
98 o2 99
99 un1 100
100 o1 101
101 o4 102
102 o1 103
103 o1 104
104 o2 105
105 un2 106
106 o3 107
107 un2 108
108 un2 109
109 un1 110
110 un1 111
111 o1 112
112 o1 113
113 o2 114
114 o3 115
115 un2 116
116 o4 117
117 un1 118
118 o2 119
119 un1 120
120 o3 121
121 o3 122
122 o1 123
123 o2 124
124 o1 125
125 o4 126
126 un1 127
127 o3 128
128 un2 129
129 o4 130
130 o2 131
131 un1 132
132 o3 133
133 o1 134
134 o4 135
135 o3 136
136 o4 137
137 o3 138
138 o2 139
139 o2 140
140 o2 141
141 o3 142
142 o2 143
143 o4 144
144 un2 145
145 un2 146
146 un2 147
147 un1 148
148 o3 149
149 o1 150
150 o4 151
151 o2 152
152 o1 153
153 o4 154
154 o1 155
155 un2 156
156 o1 157
157 un2 158
158 o1 159
159 un2 160
160 o1 161
161 un2 162
162 un2 163
163 un1 164
164 un2 165
165 o4 166
166 o2 167
167 un2 168
168 o2 169
169 un2 170
170 un2 171
171 un2 172
172 un1 173
173 un1 174
174 o4 175
175 o4 176
176 un2 177
177 un1 178
178 o3 179
179 un2 180
180 o4 181
181 un1 182
182 o3 183
183 o2 184
184 o2 185
185 o4 186
186 o1 187
187 o4 188
188 o4 189
189 o3 190
190 un2 191
191 o1 192
192 o4 193
193 o3 194
194 un1 195
195 un1 196
196 un1 197
197 o4 198
198 o2 199
199 un2 200
200 o4 201
201 un1 202
202 un1 203
203 o3 204
204 o4 205
205 o4 206
206 un2 207
207 o2 207
0 o2 208
208 un1 209
209 un2 210
210 un2 211
211 un2 212
212 un2 213
213 un1 214
214 un2 215
215 o3 216
216 o3 217
217 un2 218
218 o3 219
219 o3 220
220 o3 221
221 un1 222
222 un1 223
223 un2 224
224 un1 225
225 un2 226
226 o3 227
227 un2 228
228 un2 229
229 o3 230
230 un1 231
231 un1 232
232 un1 233
233 o3 234
234 o3 235
235 o3 236
236 o3 237
237 un2 238
238 un2 239
239 un1 240
240 o3 241
241 un2 242
242 un1 243
243 un1 244
244 un2 245
245 o3 246
246 un1 247
247 un1 248
248 un1 249
249 un1 250
250 un1 251
251 un1 252
252 un1 253
253 un2 254
254 un2 255
255 un1 256
256 un1 257
257 un2 258
258 un2 259
259 un2 260
260 un1 261
261 o3 262
262 o3 263
263 un1 264
264 un2 265
265 o3 266
266 o3 267
267 un2 268
268 un2 269
269 un2 270
270 un2 271
271 o3 272
272 un1 273
273 un1 274
274 un2 275
275 un1 276
276 un1 277
277 o3 278
278 un2 279
279 un2 280
280 un1 281
281 un2 282
282 o3 283
283 un2 284
284 o3 285
285 un1 286
286 un1 287
287 un1 288
288 un1 289
289 o3 290
290 un1 291
291 un1 292
292 o3 293
293 o3 294
294 un1 295
295 un1 296
296 o3 297
297 un2 298
298 un1 299
299 un2 300
300 un2 301
301 o3 302
302 o3 303
303 un1 304
304 un1 305
305 un1 306
306 un2 307
307 un2 308
308 o3 309
309 o3 310
310 un2 311
311 o3 312
312 un2 313
313 un1 314
314 o3 315
315 un2 316
316 un1 317
317 un2 318
318 o3 319
319 un1 320
320 o3 321
321 o3 322
322 un2 323
323 un1 324
324 un1 325
325 un2 326
326 o3 327
327 o3 328
328 o3 329
329 un1 330
330 un2 331
331 o3 332
332 o3 333
333 un2 334
334 un2 335
335 un1 336
336 o3 337
337 o3 338
338 un2 339
339 un1 340
340 un1 341
341 un1 342
342 un2 343
343 o3 344
344 o3 345
345 un2 346
346 un2 347
347 un2 348
348 un2 349
349 un1 350
350 un1 351
351 un1 352
352 o3 353
353 un2 354
354 o3 355
355 o3 356
356 o3 357
357 un2 358
358 un1 359
359 un2 360
360 un2 361
361 un1 362
362 o3 363
363 un1 364
364 o3 365
365 un2 366
366 un2 367
367 un2 368
368 o3 369
369 un1 370
370 un1 371
371 o3 372
372 un1 373
373 un1 374
374 un1 375
375 un2 376
376 un2 377
377 un1 378
378 o3 379
379 o3 380
380 o3 381
381 un1 382
382 un2 383
383 un2 384
384 un1 385
385 o3 386
386 un2 387
387 o3 388
388 un2 389
389 o3 390
390 un2 391
391 un2 392
392 un1 393
393 un1 394
394 o3 395
395 un1 396
396 o3 397
397 o3 398
398 o3 399
399 un2 400
400 o3 401
401 un1 402
402 o3 403
403 o3 404
404 o3 405
405 un2 406
406 un2 407
407 un2 408
408 o2 408
