init 0
0 o1 1
1 f 2
1 un1 2
2 un3 3
2 un2 4
3 o2 3
4 o3 4
0 o1 6
6 un1 5
5 o2 5
1 o4 10
10 o3 11
11 o1 12
12 o1 13
13 o2 14
14 un2 15
15 o2 16
16 un1 17
17 o1 18
18 un1 19
19 o2 20
20 o4 21
21 o1 22
22 un1 23
23 o1 24
24 un2 25
25 un2 26
26 un2 27
27 o4 28
28 o1 29
29 o4 30
30 o4 31
31 o2 32
32 o2 33
33 o2 34
34 un1 35
35 o2 36
36 un1 37
37 o3 38
38 o2 39
39 o4 40
40 o3 41
41 o4 42
42 un2 43
43 un1 44
44 o3 45
45 o2 46
46 o1 47
47 un1 48
48 o1 49
49 un2 50
50 un1 51
51 o2 52
52 un2 53
53 o3 54
54 o2 55
55 un2 56
56 un1 57
57 o4 58
58 un2 59
59 o3 60
60 un1 61
61 o1 62
62 o4 63
63 o4 64
64 o3 65
65 o1 66
66 un1 67
67 o3 68
68 o3 69
69 o3 70
70 un1 71
71 o1 72
72 o1 73
73 o1 74
74 o3 75
75 un2 76
76 un2 77
77 o1 78
78 o1 79
79 o4 80
80 o1 81
81 o3 82
82 un1 83
83 o3 84
84 un2 85
85 un1 86
86 un2 87
87 o1 88
88 o4 89
89 o3 90
90 o4 91
91 o2 92
92 o4 93
93 o4 94
94 o1 95
95 o2 96
96 un1 97
97 un1 98
98 un1 99
99 o3 100
100 un2 101
101 o2 102
102 o4 103
103 o4 104
104 o1 105
105 o1 106
106 un2 107
107 o1 108
108 un1 109
109 o2 110
110 o2 111
111 o4 112
112 un2 113
113 o3 114
114 un2 115
115 un1 116
116 o2 117
117 o1 118
118 o1 119
119 o3 120
120 o3 121
121 o2 122
122 o4 123
123 o2 124
124 o3 125
125 o2 126
126 o4 127
127 un1 128
128 o1 129
129 o3 130
130 o2 131
131 o3 132
132 o3 133
133 un2 134
134 o2 135
135 o3 136
136 o4 137
137 un2 138
138 un2 139
139 o2 140
140 o3 141
141 o2 142
142 o2 143
143 o3 144
144 un1 145
145 un2 146
146 un1 147
147 o1 148
148 o2 149
149 o3 150
150 un1 151
151 un1 152
152 o2 153
153 un2 154
154 un2 155
155 o2 156
156 o2 157
157 un1 158
158 o1 159
159 un1 160
160 o4 161
161 un2 162
162 o2 163
163 o2 164
164 o3 165
165 o1 166
166 o3 167
167 o3 168
168 o3 169
169 o2 170
170 o2 171
171 o2 172
172 un2 173
173 un1 174
174 o1 175
175 o4 176
176 o1 177
177 o4 178
178 un1 179
179 o4 180
180 o4 181
181 o1 182
182 un2 183
183 o4 184
184 un2 185
185 o2 186
186 o4 187
187 un1 188
188 o3 189
189 un2 190
190 o3 191
191 o1 192
192 o1 193
193 un1 194
194 o4 195
195 o1 196
196 o4 197
197 un1 198
198 o4 199
199 o2 200
200 o4 201
201 o4 202
202 o1 203
203 un2 204
204 o3 205
205 o4 206
206 o1 207
207 o3 208
208 un1 209
209 o4 210
210 o4 211
211 o1 212
212 o2 213
213 un2 214
214 o2 215
215 o3 216
216 o3 217
217 o2 218
218 o4 219
219 un2 220
220 o2 221
221 o1 222
222 o2 223
223 o2 224
224 o4 225
225 un2 226
226 o3 227
227 un1 228
228 o1 229
229 un2 230
230 un1 231
231 o4 232
232 o1 233
233 un1 234
234 o3 235
235 o2 236
236 o3 237
237 o2 238
238 un1 239
239 o1 240
240 o4 241
241 un1 242
242 o1 243
243 o3 244
244 un1 245
245 o1 246
246 o4 247
247 o2 248
248 o3 249
249 o3 250
250 o2 251
251 un2 252
252 un2 253
253 o1 254
254 o3 255
255 o2 256
256 un2 257
257 un1 258
258 o4 259
259 o1 260
260 o2 261
261 o3 262
262 o4 263
263 o3 264
264 un2 265
265 o2 266
266 o2 267
267 o2 268
268 un2 269
269 un1 270
270 o3 271
271 o1 272
272 un1 273
273 o3 274
274 o1 275
275 o3 276
276 o1 277
277 o1 278
278 o4 279
279 o3 280
280 o2 281
281 un1 282
282 o3 283
283 un2 284
284 un1 285
285 o4 286
286 o1 287
287 un1 288
288 un1 289
289 un2 290
290 un1 291
291 o2 292
292 o2 293
293 o2 294
294 un2 295
295 o4 296
296 o2 297
297 o2 298
298 o3 299
299 un1 300
300 o3 301
301 o4 302
302 o1 303
303 o3 304
304 o3 305
305 un1 306
306 o4 307
307 un2 308
308 un2 309
309 o3 310
310 un2 311
311 o1 312
312 o3 313
313 o3 314
314 o4 315
315 o4 316
316 un2 317
317 un2 318
318 un1 319
319 o4 320
320 o4 321
321 o1 322
322 un1 323
323 un1 324
324 o1 325
325 o2 326
326 o3 327
327 o2 328
328 o4 329
329 o2 330
330 o2 331
331 o3 332
332 o3 333
333 o4 334
334 un1 335
335 un2 336
336 o1 337
337 o3 338
338 un1 339
339 un1 340
340 o3 341
341 o2 342
342 o3 343
343 o3 344
344 o2 345
345 o4 346
346 o3 347
347 o2 348
348 o3 349
349 o3 350
350 o2 351
351 un1 352
352 o3 353
353 un1 354
354 un2 355
355 o4 356
356 o3 357
357 un1 358
358 un2 359
359 o3 360
360 o4 361
361 o2 362
362 o3 363
363 un2 364
364 o1 365
365 un1 366
366 o4 367
367 un2 368
368 o1 369
369 o3 370
370 un2 371
371 o4 372
372 un2 373
373 o3 374
374 un2 375
375 o4 376
376 o2 377
377 o3 378
378 un1 379
379 o2 380
380 un2 381
381 un2 382
382 un1 383
383 un2 384
384 o1 385
385 o3 386
386 o2 387
387 o4 388
388 o2 389
389 o2 390
390 o1 391
391 o1 392
392 un2 393
393 o1 394
394 un2 395
395 o1 396
396 un1 397
397 un2 398
398 o4 399
399 o2 400
400 o4 401
401 o3 402
402 o4 403
403 un2 404
404 o3 405
405 o3 406
406 o3 407
407 o1 408
408 un2 409
409 o1 410
410 o1 410
0 o2 411
411 o3 412
412 o3 413
413 un2 414
414 o3 415
415 un2 416
416 o3 417
417 un1 418
418 un1 419
419 un2 420
420 un1 421
421 un1 422
422 un1 423
423 un2 424
424 o3 425
425 o3 426
426 un2 427
427 un1 428
428 un2 429
429 o3 430
430 un2 431
431 un2 432
432 o3 433
433 un1 434
434 un1 435
435 un2 436
436 o3 437
437 o3 438
438 un1 439
439 un1 440
440 o3 441
441 o3 442
442 un1 443
