init 0
0 f 1
1 o1 2
2 o3 3
3 o2 2
0 o1 4
4 o3 5
0 un1 6
6 o1 7
7 o3 8
8 un2 9
9 o2 4
5 o2 7
0 o3 10
10 o3 11
11 o1 12
12 o3 13
13 o2 14
14 un1 15
15 un1 16
16 o1 17
17 o3 18
18 o2 19
19 o4 20
20 un1 21
21 o3 22
22 o3 23
23 un1 24
24 o4 25
25 un2 26
26 o3 27
27 o2 28
28 o1 29
29 o2 30
30 un2 31
31 un2 32
32 o1 33
33 o3 34
34 o1 35
35 un2 36
36 o2 37
37 o4 38
38 o1 39
39 un2 40
40 o1 41
41 un1 42
42 o4 43
43 un2 44
44 un1 45
45 o3 46
46 o3 47
47 o4 48
48 o3 49
49 o4 50
50 o4 51
51 un1 52
52 o2 53
53 o1 54
54 o4 55
55 o1 56
56 o1 57
57 un1 58
58 o2 59
59 un1 60
60 o3 61
61 o3 62
62 o2 63
63 o2 64
64 o1 65
65 o1 66
66 un1 67
67 o4 68
68 o4 69
69 o4 70
70 un2 71
71 o3 72
72 o4 73
73 o3 74
74 o3 75
75 o2 76
76 o4 77
77 o1 78
78 o2 79
79 un1 80
80 o2 81
81 o3 82
82 o3 83
83 o1 84
84 o2 85
85 o4 86
86 un1 87
87 o3 88
88 un2 89
89 o1 90
90 o4 91
91 un1 92
92 o4 93
93 o1 94
94 o3 95
95 o4 96
96 o3 97
97 o1 98
98 o4 99
99 o1 100
100 o1 101
101 un1 102
102 un1 103
103 o1 104
104 un1 105
105 o1 106
106 o4 107
107 o2 108
108 o3 109
109 un1 110
110 o4 111
111 o4 112
112 un1 113
113 o3 114
114 o3 115
115 un1 116
116 o4 117
117 o2 118
118 un1 119
119 o3 120
120 o4 121
121 o4 122
122 o4 123
123 o4 124
124 o1 125
125 o2 126
126 o4 127
127 o2 128
128 o1 129
129 o3 130
130 o3 131
131 o2 132
132 un1 133
133 o3 134
134 o4 135
135 un2 136
136 o3 137
137 o2 138
138 un2 139
139 un1 140
140 o3 141
141 un1 142
142 un1 143
143 o2 144
144 un1 145
145 o4 146
146 un1 147
147 o1 148
148 o3 149
149 o2 150
150 o4 151
151 o4 152
152 o3 153
153 un1 154
154 un2 155
155 un1 156
156 o4 157
157 o1 158
158 un1 159
159 o4 160
160 o4 161
161 un1 162
162 un1 163
163 o3 164
164 o3 165
165 un2 166
166 o3 167
167 un2 168
168 o2 169
169 o4 170
170 un1 171
171 un1 172
172 o3 173
173 un2 174
174 o2 175
175 o3 176
176 un2 177
177 o3 178
178 o1 179
179 o2 180
180 o1 181
181 o1 182
182 un2 183
183 un2 184
184 o3 185
185 o2 186
186 un2 187
187 o3 188
188 o4 189
189 o3 190
190 un2 191
191 o2 192
192 o1 193
193 un2 194
194 o3 195
195 un2 196
196 o3 197
197 o4 198
198 o4 199
199 o3 200
200 un1 201
201 o4 202
202 o2 203
203 un1 204
204 o4 205
205 un1 206
206 o1 207
207 o4 208
208 un2 209
209 un1 210
210 o1 211
211 o3 212
212 un1 213
213 un1 214
214 o3 215
215 un2 216
216 o4 217
217 o1 218
218 un2 219
219 o2 220
220 un2 221
221 o3 222
222 o1 223
223 un2 224
224 o2 225
225 un2 226
226 o3 227
227 o1 228
228 o2 229
229 un2 230
230 o3 231
231 un1 232
232 un2 233
233 un2 234
234 o2 235
235 un2 236
236 o3 237
237 un1 238
238 o3 239
239 un1 240
240 o3 241
241 o3 242
242 o2 243
243 o1 244
244 un2 245
